epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,2764.01,1.00039,0.70489,1.1117,0.89827,0.89554,0.93315,0.63294,1.19126,0.68836,1.3014,1.78466e-05,1.78466e-05,1.78466e-05
151,2780.39,1.01041,0.72003,1.12341,0.89602,0.89084,0.93474,0.63486,1.19436,0.68741,1.30312,1.751e-05,1.751e-05,1.751e-05
152,2795.87,0.99692,0.71268,1.11636,0.89141,0.89412,0.93339,0.6293,1.19121,0.68635,1.30063,1.71734e-05,1.71734e-05,1.71734e-05
153,2813.25,1.0003,0.71783,1.1215,0.90675,0.88632,0.93114,0.63001,1.19565,0.69395,1.30507,1.68368e-05,1.68368e-05,1.68368e-05
154,2828.58,0.99462,0.71258,1.11122,0.88605,0.89939,0.93193,0.62694,1.20273,0.69417,1.30663,1.65002e-05,1.65002e-05,1.65002e-05
155,2845.51,0.97706,0.70457,1.10384,0.91094,0.87844,0.93453,0.63066,1.2005,0.69101,1.30736,1.61636e-05,1.61636e-05,1.61636e-05
156,2861.23,1.01127,0.71453,1.1219,0.90786,0.88278,0.9344,0.6333,1.1965,0.68262,1.30359,1.5827e-05,1.5827e-05,1.5827e-05
157,2878.64,0.99433,0.70768,1.10949,0.89585,0.89873,0.93335,0.63239,1.19162,0.67757,1.30625,1.54904e-05,1.54904e-05,1.54904e-05
158,2896.27,0.98464,0.71128,1.10361,0.90006,0.89454,0.93505,0.63455,1.19425,0.68672,1.30715,1.51538e-05,1.51538e-05,1.51538e-05
159,2912.46,0.98081,0.7036,1.10552,0.91227,0.88292,0.93487,0.6296,1.19322,0.68311,1.30911,1.48172e-05,1.48172e-05,1.48172e-05
160,2929.29,0.98811,0.69745,1.10693,0.91299,0.88466,0.93267,0.62977,1.19526,0.68472,1.30515,1.44806e-05,1.44806e-05,1.44806e-05
161,2945.88,1.00105,0.71738,1.11608,0.88918,0.89585,0.93072,0.62833,1.19086,0.68554,1.3061,1.4144e-05,1.4144e-05,1.4144e-05
162,2963.17,0.99687,0.72157,1.12338,0.89336,0.89465,0.93188,0.62841,1.18916,0.68781,1.3037,1.38074e-05,1.38074e-05,1.38074e-05
163,2979.56,0.99555,0.7131,1.11206,0.8823,0.90771,0.93377,0.63022,1.19181,0.68142,1.29935,1.34708e-05,1.34708e-05,1.34708e-05
